"NWREC Colby, KS, Texture Data, 5/29/2024, Analysis by ServiTech",,,,,,,,,,
Plot ID,Lat,Lng,Lab_ID,Sample ID,Sample Depth (in),OMC (%) ,Soil Textural Class,Sand (%),Silt (%),Clay (%)
2401,39.38687439,-101.0661842,119974,63,27 - 33,1.5,Silt Loam,17.7,59.8,22.5
2401,39.38687439,-101.0661842,119975,64,39 - 44,0.9,Silt Loam,21.8,65.8,12.4
2401,39.38687439,-101.0661842,119976,65,48 - 60,0.8,Silt Loam,21.0,66.7,12.3
2401,39.38687439,-101.0661842,119977,66,60 - 72,0.8,Silt Loam,18.9,69.9,11.2
2401,39.38687439,-101.0661842,119978,67,72 - 84,0.8,Silt Loam,22.7,64.8,12.5
2401,39.38687439,-101.0661842,119979,68,84 - 96,0.8,Silt Loam,22.5,67.5,10.0
2401,39.38687439,-101.0661842,119980,69,96-108,0.8,Silt Loam,21.3,66.2,12.5
2401,39.38687439,-101.0661842,119981,70,108-120,0.9,Silt Loam,19.2,68.4,12.4
2403,39.38686991,-101.0654379,119982,71,0 - 12,2.0,Silt Loam,21.4,56.2,22.4
2403,39.38686991,-101.0654379,119983,72,12 - 24,1.1,Silt Loam,18.1,59.6,22.3
2403,39.38686991,-101.0654379,119984,73,24 - 36,0.9,Silt Loam,20.0,62.5,17.5
2403,39.38686991,-101.0654379,119985,74,36 - 48,0.8,Silt Loam,21.3,65.0,13.7
2403,39.38686991,-101.0654379,119986,75,48 - 60,0.8,Silt Loam,21.3,65.0,13.7
2403,39.38686991,-101.0654379,119987,76,60 - 72,0.9,Silt Loam,21.0,65.4,13.6
2403,39.38686991,-101.0654379,119988,77,72 - 84,0.8,Silt Loam,21.4,66.3,12.3
2403,39.38686991,-101.0654379,119989,78,84 - 96,0.8,Silt Loam,21.3,68.7,10.0
2403,39.38686991,-101.0654379,119990,79,96-108,0.7,Silt Loam,18.8,67.5,13.7
2403,39.38686991,-101.0654379,119991,80,108-120,0.7,Silt Loam,20.9,66.7,12.4
2405,39.38686646,-101.0646304,119992,81,4 - 9,1.6,Silt Loam,20.5,55.9,23.6
2405,39.38686646,-101.0646304,119993,82,15 - 21,1.0,Silty Clay Loam,15.1,53.7,31.2
2405,39.38686646,-101.0646304,119994,83,27 - 33,1.1,Silty Clay Loam,16.6,51.0,32.4
2405,39.38686646,-101.0646304,119995,84,39 - 44,0.9,Silt Loam,19.0,59.8,21.2
2405,39.38686646,-101.0646304,119996,85,48 - 60,0.8,Silt Loam,18.9,64.9,16.2
2405,39.38686646,-101.0646304,119997,86,60 - 72,0.7,Silt Loam,20.4,64.7,14.9
2405,39.38686646,-101.0646304,119998,87,72 - 84,0.7,Silt Loam,20.2,64.8,15.0
2405,39.38686646,-101.0646304,119999,88,84 - 96,0.6,Silt Loam,21.3,66.2,12.5
2405,39.38686646,-101.0646304,120000,89,96-108,0.6,Silt Loam,18.9,68.6,12.5
2405,39.38686646,-101.0646304,120001,90,108-120,0.7,Silt Loam,19.6,70.7,9.7
2604,39.3870343,-101.065067,120002,91,3 - 9,1.2,Silt Loam,20.1,57.4,22.5
2604,39.3870343,-101.065067,120003,92,15 - 21,0.9,Silt Loam,16.3,59.9,23.8
2604,39.3870343,-101.065067,120004,93,27 - 33,1.0,Silt Loam,17.5,65.0,17.5
2604,39.3870343,-101.065067,120005,94,39 - 45,0.8,Silt Loam,20.0,65.0,15.0
2604,39.3870343,-101.065067,120006,95,51 - 57,0.7,Silt Loam,19.8,67.9,12.3
2604,39.3870343,-101.065067,120007,96,60 - 72,0.7,Silt Loam,20.3,64.8,14.9
2604,39.3870343,-101.065067,120008,97,72 - 84,0.6,Silt Loam,19.0,66.0,15.0
2604,39.3870343,-101.065067,120009,98,84 - 96,0.7,Silt Loam,19.0,68.5,12.5
2604,39.3870343,-101.065067,120010,99,96-108,0.7,Silt Loam,19.1,68.4,12.5
2604,39.3870343,-101.065067,120011,100,108-120,0.6,Silt Loam,18.2,69.4,12.4
