"soil analysis, Colby, KS, August 1-2, 2024, sample depth 0-12 inches",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team,Plot ID,Lat,Lng,Sample ID,Soil pH,Excess Lime,Organic matter (%),Nitrate-Nitrogen (ppm),Nitrate-Nitrogen (lbs of N/acre),Phosphorus (ppm),Potassium (ppm),Sulfur (ppm),Sulfur (lbs of S/acre),Calicium (ppm),Magnesium (ppm),Sodium (ppm),Zinc (ppm),Iron (ppm),Manganese (ppm),Copper (ppm),Boron (ppm),CEC (meq per 100g),CEC K (%),CEC Ca (%),CEC Mg (%),CEC Na (%),,,,,,,,
24,2701,39.38711983,-101.066227,35,7.3,No,2.0,11.4,41,27,545,11,40,2740,560,56,1.8,45,165,2.2,1.1,20,7,68,23,1,,,,,,,,
13,2702,39.38711758,-101.0658378,36,7.9,Hi,1.7,29.8,107,18,532,13,47,6930,498,45,1,20,97,2.2,1.2,31,4,81,14,1,,,,,,,,
1,2703,39.38711532,-101.0654487,37,8,Hi,1.8,30.6,110,20,556,13,47,6750,554,39,1.2,23,107,2.3,1.4,31,5,80,15,1,,,,,,,,
26,2603,39.38703296,-101.0654492,38,7.9,Hi,1.8,45.4,163,17,539,15,54,6250,554,50,1.1,25,111,2.2,1.5,31,4,80,15,1,,,,,,,,
17,2602,39.38703522,-101.0658384,39,7.8,Lo,1.9,40.8,147,18,556,17,61,5620,543,48,3.7,30,116,2.2,1.5,31,5,80,15,1,,,,,,,,
23,2601,39.38703747,-101.0662276,40,7.8,No,2.5,22.6,81,12,580,13,47,2790,552,52,2.8,42,167,2.2,1.2,20,7,69,23,1,,,,,,,,
19,2501,39.38695511,-101.0662281,41,7.3,No,2.0,20.6,74,10,616,15,54,2590,581,64,1.2,46,166,2.4,1.1,20,8,66,25,1,,,,,,,,
15,2502,39.38695286,-101.065839,42,7.8,Lo,2.1,16.1,58,24,584,15,54,5570,566,58,1.7,33,133,2.4,1.5,31,5,79,15,1,,,,,,,,
8,2503,39.3869506,-101.0654498,43,7.9,Lo,2.1,47.7,172,39,565,21,76,5820,547,49,4.1,27,113,2.3,1.5,31,5,80,15,1,,,,,,,,
21,2403,39.38686824,-101.0654504,44,7.7,Lo,2.0,19,68,24,546,15,54,4880,585,52,1.5,35,139,2.3,1.6,31,5,79,16,1,,,,,,,,
11,2402,39.3868705,-101.0658396,45,7.7,Lo,1.9,31.2,112,16,595,16,58,4930,531,55,2.8,33,142,2.2,1.5,31,5,80,14,1,,,,,,,,
10,2401,39.38687275,-101.0662287,46,7.5,No,2.0,13.6,49,10,572,11,40,2640,553,61,1.2,49,186,2.3,1.1,20,8,68,24,1,,,,,,,,
4,2301,39.38679039,-101.0662293,47,7.4,No,2.0,17.7,64,14,614,12,43,2490,557,58,1.9,49,184,2.6,1,19,8,66,25,1,,,,,,,,
30,2302,39.38678814,-101.0658402,48,7.6,Lo,1.9,18.2,66,17,610,13,47,4120,537,59,1.4,39,157,2.3,1.5,27,6,77,17,1,,,,,,,,
5,2303,39.38678588,-101.065451,49,7.6,Lo,2.1,31.3,113,23,614,16,58,3850,574,56,1.5,39,143,2.3,1.6,26,6,74,19,1,,,,,,,,
12,2203,39.38670362,-101.0654516,50,7.6,No,2.0,21.6,78,31,630,19,68,3550,628,58,1.7,44,152,2.6,1.8,25,7,71,21,1,,,,,,,,
27,2202,39.38670588,-101.0658407,51,7.6,Lo,2.3,62.5,225,26,592,22,79,4010,590,59,1.4,42,167,2.5,1.7,27,6,75,18,1,,,,,,,,
9,2201,39.38670813,-101.0662299,52,7.1,No,2.5,36.9,133,20,697,13,47,2650,589,57,2,53,203,2.5,1.2,20,9,66,24,1,,,,,,,,
